,Unnamed: 0,id,text_ids,question,answer
1534,0,2383,[9836 2527 11542],What type of medication is used to treat diabetes and is classified into a single category?,GLP-1 receptor agonists
681,0,2402,[6621 2643],What type of compounds can germyl compounds react with?,"Alkyl halides, aromatic halides, and water"
93,0,1322,[3421 3726 5134],What is the name of the theorem that states that every planar graph has a drawing in which its edges are represented by straight line segments?,Fáry's theorem
1500,0,1509,[11310 6498 12016 4931],What is the mechanism of action of Osemozotan?,Osemozotan acts as a selective 5-HT1A receptor agonist
851,0,1493,[11103 11156 11238 2506],What is the primary use of GABOB?,GABOB is used as an anticonvulsant to treat epilepsy
1237,0,935,[2414 2593 6222],What is the typical color of the ground of Coenagrionidae damselflies?,"Green, blue, yellow, orange, or purple"
1896,0,2500,[9705 706 4787 12643],What is tributyl phosphate used in the liquid-liquid extraction of?,"Uranium, plutonium, and thorium"
516,0,1169,[1978 3429 12542],What is triptorelin used to treat?,"Endometriosis, prostate cancer, and male hypersexuality"
2113,0,691,[7624 4317 3689],What is the chemical formula of magnesiohastingsite?,NaCa2(Mg4Fe3+)(Si6Al2)O22(OH)2
1425,0,1370,[4129 1768 1525],What ions are displaced from the NMDA receptor when the postsynaptic membrane potential is depolarized?,Magnesium ions
405,0,1747,[11054 11699 6713 6876],What type of B cells are specialized to mount rapid T-independent responses against blood-borne pathogens?,Marginal zone B cells
1435,0,891,[4305 10284 9416],What is the common treatment for Adie syndrome?,Prescribing reading glasses
98,0,2591,[8111 8393 10573],What is the unit of measurement for radiodensity according to the Hounsfield scale?,Hounsfield units
1995,0,2445,[5145 4597 10389 11956],What is the anion that hyponitrite refers to in chemistry?,"[ON=NO]2−

Please let me know if you want me to generate another one"
871,0,1637,[1246 10540 1191],What is PMView used for?,"Viewing, converting, and editing images"
467,0,1478,[11505 6047 8116 4468],What is the chemical formula of Thaumasite?,Ca3Si(OH)6(CO3)(SO4)·12H2O
1805,0,680,[10163 11142 5072],What is the G-renewal process used in?,Reliability engineering
1485,0,38,[4742 7428 5644],What is the main difference between various types of dental floss?,Thickness
1672,0,237,[5818 1616],What is the central part of a neutron generator?,A neutron tube
1945,0,1816,[12126 8],What is a Moonbow?,A rainbow produced by moonlight
1522,0,2590,[9399 2139 2481 7354],What is a snark in graph theory?,An undirected graph with exactly three edges per vertex whose edges cannot be colored with only three colors
284,0,2586,[8834 52],What enzyme is involved in the metabolism of steroids?,11β-hydroxylase
2125,0,211,[9003 2323 10587],What is the main goal of treatment for EGUS in horses?,To keep the pH of the stomach above 4
412,0,1326,[9374 857],What is the primary mode of transmission of Bordetella pertussis?,It is spread through airborne droplets
417,0,1195,[7473 2578],What is the pKaH of the free carbanionic intermediate?,30-34
1069,0,307,[7858 833],What is the family of MeuKTX?,α-KTx subfamily
2099,0,1801,[3583 2864 6042],What is the main cause of peach leaf curl?,The fungus T. deformans
843,0,659,[439 10432],What is the main function of the cytochrome c oxidase complex?,It is involved in the electron transport chain of mitochondrial oxidative phosphorylation
1139,0,1393,[11964 10036 12500 8617],What is the name of the scientist who introduced the concept of reversible reactions in 1803?,Berthollet
983,0,2258,[11972 8610 11462],What is the number of vertices in a regular dodecagram?,12
1375,0,705,[6736 4686 4330],What is the primary way in which residual soils are formed?,Through chemical weathering of their bedrock
2015,0,245,[6640 5862 12778],What type of DNA repair mechanism is involved in the recognition and excision of damaged DNA bases?,Base Excision Repair
1811,0,1895,[6810 4866],What is the number of vertices in a rectified 8-orthoplex?,112
887,0,2742,[13129 6685],What is one way to form potassium silanide?,By reacting hydrogen with potassium triphenylsilyl K(Me6TREN)SiPh3
304,0,205,[10520 813],What is the location of the MT-CO2 gene on the mitochondrial DNA?,It is located on the p arm at position 12
1735,0,1860,[9713 184],What is the legal status of 1-Testosterone in the United States?,It was reclassified as a Schedule III drug
995,0,621,[11092 9301],What is the role of rhamnolipids in swarming motility of Pseudomonas aeruginosa?,They lower the surface tension of the surface
1341,0,702,[6397 11950],What is a possible cause of nocturnal leg cramps?,Dehydration
971,0,1091,[8951 1439 8678],What type of organisms do nematodes feed on?,"Bacteria, fungi, plants, and animals"
269,0,932,[12924 9267],What happens to solar cycles during a grand solar minimum?,They exhibit lesser than average activity for decades or centuries
663,0,1035,[6244 2710],What is the function of AbgT protein?,It imports p-aminobenzoyl-glutamate for producing folate.
65,0,2433,[5534 2190],What is the order of the Janko group J3?,273551719
2049,0,2364,[2707 4864],What is the typical structure of 15-Crown-5 complexes with transition metal ions?,The complexes typically have a seven-coordinate structure
1505,0,1626,[9048 8998 4628 9462],What is the primary symptom of Fowler's syndrome?,Urinary retention
328,0,1629,[10519 7047 8915],What is a geodesic map in differential geometry?,A function that preserves geodesics between two (pseudo-)Riemannian manifolds
1154,0,2631,[3951 3210],What is the function of CXCL10 in host defense mechanisms?,It is involved in host defense mechanisms against certain intracellular pathogens
2233,0,61,[9716 1102],What is the main focus of the Intel Core i5 processor line?,To provide a balance between performance and power efficiency
1070,0,1534,[11158 13026 14],What substance is listed as a Schedule III substance in the U.S.?,Clostebol
966,0,2513,[12267 7782 7004 7272],What is the main advantage of fractal antennas over traditional antennas?,They have good multiband performance
1885,0,1850,[1861 4883 7102 2478],What regulates the secretion of kisspeptin in KNDy neurons?,Neurokinin B and dynorphin regulate the secretion of kisspeptin in KNDy neurons
1573,0,895,[9047 8792 6069],What is a flag in incidence geometry?,A set of elements that are mutually incident
1170,0,2528,[9072 12484 9387],What is the name of the scientist who included the effects of surface tension in the Rayleigh-Plesset equation in 1949?,Milton S. Plesset
1977,0,1306,[3285 11759 1872],What is the carbon abundance of HE 1327-2326 compared to the sun?,One-tenth solar
1210,0,359,[1555 12102],What is the mechanism behind the neurotoxic properties of delta hexatoxin Hv1?,"It binds to voltage-gated sodium channels on neurons, leading to incomplete steady-state Na+ channel inactivation"
1147,0,1758,[8456 7522],What is the primary goal of treatment for GRIN disorders?,Managing symptoms and improving quality of life
130,0,168,[5859 5340],What is the purpose of the volatile keyword in Java?,It provides a global ordering on reads and writes of all volatile variables
735,0,356,[7689 5304 3252],What is NEDD4's role in regulating membrane proteins?,NEDD4 is an E3 ubiquitin ligase that regulates a large number of membrane proteins via ubiquitination and endocytosis
313,0,2024,[7008 6637],What type of serotonin antagonist is cyproheptadine?,5-HT2A antagonist
1628,0,1337,[9867 3961],What is a characteristic of pygopodoid geckos?,They have flap-footed limbs
26,0,1014,[10859 2044 7532],What was the name of the device invented by Thomas Edison in 1877 that allowed sound to be recorded and reproduced?,The phonograph
572,0,24,[6432 1078 8075],What is the cofactor used by NAD(P)H dehydrogenase (quinone)?,FAD
2092,0,681,[1991 13001 3601],What is the potential benefit of renal denervation beyond hypertension?,Treatment of other diseases associated with an overactive sympathetic drive
282,0,1502,[7821 4215 532],What is the direction in which exonuclease I breaks apart single-stranded DNA?,3' to 5' direction
2059,0,481,[774 11040],What is the main purpose of Bubble CPAP?,To maintain lung volumes during expiration
264,0,1673,[1387 5091 1969 9188],What disease is HLA-A*02 associated with a decreased risk of developing?,Hodgkin lymphoma
1042,0,136,[6092 3020 2136],What is the most reactive part of the molecule thiamine pyrophosphate?,The thiazole ring
1992,0,2687,[162 12141],What is the location of the UBE2L3 gene?,It is located on chromosome 22q11.21
63,0,1861,[5335 9447 10159 11950],What can help prevent muscle cramps?,"Adequate conditioning, stretching, mental preparation, hydration, and electrolyte balance"
1056,0,1086,[3981 12846],What type of dwarf star is not massive enough to fuse hydrogen into helium?,A brown dwarf
453,0,1749,[1378 571 9189],What is one way in which the activity of p38α MAPK can be reversed?,By dephosphorylation by protein phosphatases
2165,0,2409,[287 12693 5294 3459],What is the name of the technique used to regenerate hyaline-like cartilage?,Articular cartilage stem cell paste grafting
979,0,1153,[12988 11166 8807 8927],What is the function of the translocator protein (TSPO) in neurosteroid biosynthesis?,It is activated by certain benzodiazepines and can increase inhibitory neurosteroid levels
88,0,458,[2324 9454],What type of medications can bind to SHBG and displace endogenous steroids?,Oral contraceptives and anabolic steroids
1996,0,2300,[6960 11640 8025],What is a ring homomorphism?,"A ring homomorphism is a structure-preserving function between two rings, preserving addition, multiplication, and the unit element"
1922,0,1635,[9860 1718 4342],What is a profinite group characterized by?,The inverse limit of an inverse system of discrete finite groups
1188,0,1674,[2769 1541 3691 5504],What is the chemical formula of riebeckite?,Na2(Fe2+3Fe3+2)Si8O22(OH)2
1683,0,919,[7746 5343 1445],What is a threat to natural beech wood forests?,Agricultural practices that change the soil composition
214,0,1533,[13041 1050 9949],What is the name of the board using ESP-WROOM-32?,The BPI UNO32
1026,0,2274,[12624 10507 3232 5367],"What is the botanical authority for the name ""Metzgeriales""?",Chalaud
18,0,1956,[641 68 2386],What is the function of glutathione reductase?,It maintains the reducing environment of the cell by catalyzing the reduction of glutathione disulfide to glutathione
1314,0,1310,[1965 2351],What type of galaxy is NGC 2964?,An intermediate spiral galaxy
1357,0,672,[5630 9548 5574],What is the typical latency for a broadband internet connection?,Between 5 and 80 milliseconds
1623,0,2472,[7706 396],What is Tikhonov regularization used for?,It is used to solve ill-posed problems
910,0,1824,[7310 11615 2795 7881],"What is the primary use of 1,1-Difluoroethane?","It is used as a refrigerant, propellant, and in gas duster products"
1687,0,2308,[9768 4901 9682 12086],What is the primary region where Haplogroup S1a is found?,"Melanesia, Micronesia, Maritime Southeast Asia, and among indigenous Australians"
1242,0,2465,[220 4070],What is the filename of MS-DOS in some OEM versions?,MSDOS.COM
1542,0,663,[2754 1599],What is one of the possible interpretations of the formation of M-type asteroids?,They may be the remnant cores of early protoplanets
1954,0,319,[12354 11692 6440],What did Gravity Probe B aim to test?,"Gravity Probe B aimed to test two unverified predictions of general relativity, the geodetic effect and frame-dragging"
1443,0,894,[8251 9419],What is PEAP?,A protocol that encapsulates the Extensible Authentication Protocol (EAP) within an encrypted and authenticated Transport Layer Security (TLS) tunnel
436,0,2610,[13222 2316 5837],What is the predicted molecular weight of the PROSER1 protein?,95.7 kdal
917,0,330,[4828 6681 2004],What is the definition of superlubricity?,A kinetic coefficient of friction less than 0.01
109,0,2577,[10232 10210 4311 7357],What is WiFi Sensing?,"WiFi Sensing is a technology that uses existing Wi-Fi signals to detect events or changes, such as motion, gesture recognition, and biometric measurement"
1115,0,1712,[4987 13122 7153],What is the purpose of creating the genus Peribacillus?,To clarify the taxonomic relationships of Bacillus
2175,0,1138,[8313 10256 5056],What is the function of zinc in the aspartoacylase reaction mechanism?,Zinc lowers the pKa of a ligated water molecule
649,0,116,[812 1005],What tasks does an embedded controller perform?,"Receiving and processing signals from the keyboard and touchpad, controlling access to the A20 line, thermal measurement and response, and managing the battery charger and battery"
1502,0,1255,[9413 5564 6786],What family of caddisflies does the genus Pseudostenophylax belong to?,Limnephilidae
684,0,1420,[1817 12699],What enzyme is the first step in the biosynthesis of ubiquinone?,Chorismate lyase
1018,0,1389,[831 297 11450 11226],What type of bacteria is E. chaffeensis?,"E. chaffeensis is an obligate intracellular, Gram-negative species of Rickettsiales bacteria"
15,0,1400,[616 2234 10427],What is the concept that is central to neurophenomenology?,The concept of embodiment
142,0,2713,[1140 2690 10405],What type of receptors bind to fMLF?,G protein coupled receptors
2067,0,509,[5804 10451],What is latent heat?,"The energy released or absorbed by a body or thermodynamic system during a constant-temperature process, usually a first-order phase transition"
1895,0,988,[4586 525],What type of image file format stores images as a set of geometric instructions?,Vector
1406,0,1419,[10105 5020 2212],What can cause impaired absorption of vitamin B12?,"Pernicious anemia, coeliac disease, biliary disease, or other conditions"
22,0,2227,[7378 12807 7508],What is the purpose of the Schaeffer-Fulton staining method?,It is used to identify endospores and distinguish them from vegetative cells
1280,0,503,[1983 4792],What is the effect of protease inhibitors on the production of infectious viral particles?,They inhibit the production of infectious viral particles
1633,0,2146,[4655 2523 8301 10266],What is the surface gravity of WD 2359-434?,108.39 cm/s^2
1842,0,1842,[11006 7058],What is the main goal of the Human Immunome Program?,To decipher the complete collection of B and T immune cell receptors from the human population
1715,0,2325,[5764 5797 5422],What is the name of the Coxeter group associated with the truncated 8-orthoplex that has lower symmetry?,D8
308,0,2766,[12782 12356 748],What is the cause of urticaria pigmentosa?,A point mutation at amino acid 816 of the proto-oncogene c-kit
1493,0,18,[512 2564],What is the role of HGPRT in the purine salvage pathway?,It converts hypoxanthine to inosine monophosphate and guanine to guanosine monophosphate
150,0,844,[10147 3222],What is the location where FAM83H is targeted?,The nucleus
1098,0,110,[2608 3255],What is the name of the first logic programming language developed in the 1970s?,Planner
211,0,2205,[12339 12324 12405],What is the function of CD40 on B cells?,"It interacts with CD40L on T cells, causing B cell activation, isotype switching, and differentiation to plasma cells"
1445,0,1361,[9031 1386],What are the most common side effects of entrectinib?,"Tiredness, constipation, dysgeusia, edema, dizziness, diarrhea, nausea, dysesthesia, dyspnea, anemia, increased weight, increased blood creatinine, pain, cognitive disorders, vomiting, cough, and fever"
665,0,1111,[83 563 9955 9152],What is the function of NBP2?,It plays a crucial role in cytosolic iron-sulfur protein assembly
1909,0,730,[7522 7910 10597],What is the main focus of treatment for GRIN disorders?,Managing symptoms and improving quality of life
278,0,2161,[1616 7758 6027 5818],What is the primary function of a neutron tube in a neutron generator?,It produces a high neutron flux and consistent neutron energy spectra
1456,0,526,[3900 3836 3483],What is the name of the mathematical logic result that states that every consistent first-order theory is complete?,Gödel's completeness theorem
568,0,294,[4229 12818 10906],What is the main function of the COMT enzyme?,It inactivates catecholamine neurotransmitters by introducing a methyl group to the molecule
534,0,1542,[3507 10551],What is the mechanism of action of gabapentinoids in the brain?,They block α2δ subunit-containing voltage-dependent calcium channels (VDCCs)
518,0,2,[7716 11411 8424],What is the mechanism of GSDMD-N localization after cleavage?,GSDMD-N localizes to the plasma membrane
2104,0,431,[7593 5971 8289],What is a Supernova Remnant?,A supernova remnant is the structure formed by the explosion of a star
825,0,744,[12706 12207 7796],What technology has been used to study the genetic evolution of cancer using single-cell genomics?,Next-generation sequencing (NGS) technologies
1751,0,759,[11011 4738 738],"What is the origin of the name ""Gyrolite""?","It is named after the ancient Greek word for circle, guros"
1681,0,1560,[12960 5021 12217],What is the function of the 26S proteasome?,Maintaining cellular proteome homeostasis
1818,0,2351,[11765 8540],What type of molecule is iminoborane related to?,Acetylenes
2178,0,1621,[8528 9516 5470],What is a random walk in mathematics?,A random walk is a mathematical process that describes a path that consists of a succession of random steps on some mathematical space
1273,0,399,[9997 8357],What type of TTL metering measures the light reflected from a small preflash?,Preflash TTL metering
1463,0,638,[2062 3090],"What is the origin of the term ""Umklapp""?","It was coined by Rudolf Peierls from the German word ""umklappen"" meaning ""to turn over"""
1971,0,2457,[9917 9154 11335],What are the three mandatory files that make up a shapefile?,"The three mandatory files are.shp,.shx, and.dbf"
2024,0,182,[2502 30 2963],"What is the name of the person who coined the term ""mollifier""?",Donald Alexander Flanders
1998,0,653,[4425 8156 834],What is a key component of arsenite minerals?,Arsenite anions
603,0,25,[7509 12986],What is the purpose of the discone antenna?,To develop special antennas for aircraft communication
615,0,1605,[9455 10438 5763 8679],What type of receptor is eptapirone a potent and highly selective agonist of?,5-HT1A receptor
934,0,1948,[6007 9571 11204 3651],What is the estimated percentage of people with diabetes affected by diabetic foot ulcers?,Approximately 15%
539,0,1372,[6009 2919 3150],What is the estimated cost of the discovery process in drug development?,Several billion dollars
2031,0,2604,[5749 4870 8953],What is the largest known rank of an elliptic curve?,28
178,0,2272,[143 1433 8796 10492],What is the name of the German geophysicist who developed the modern theory of continental drift?,Alfred Wegener
752,0,1585,[7863 2361],What is one of the main uses of tert-butylthiol?,It is used as a gas odorant blend in natural gas
1338,0,2148,[4122 833 7858 10236],What is the molecular weight of MeuKTX?,3987 Da
925,0,1500,[3076 2585],What is the family of Heliotropium species?,Heliotropiaceae
1300,0,2215,[12221 2547 7275 11766],What type of antimetabolite works by mimicking the structure of para-aminobenzoic acid (PABA) and selectively killing bacteria?,Sulfanilamide drugs
1006,0,1174,[10224 8250],What is Tetrytol used for?,"It is used in military applications, such as burster tubes for chemical weapons, blocks of demolition explosives, and cast shaped charges"
52,0,2317,[7753 10406],What is involved in ion channel activity and sour taste perception?,"TRPP1, TRPP2, and TRPP3"
1697,0,1074,[486 2272],What do line traps prevent from entering neighboring lines?,High-frequency carrier signals
376,0,2296,[8990 1977 71 10251],What is the effect of thiaminase on thiamine?,It breaks down thiamine into two molecular parts
135,0,2561,[5394 5958 6502 7925],What is the focus of existential phenomenology?,It emphasizes the importance of human existence and experience
1756,0,606,[11921 7974 3399],What is the concept that describes the behavior of electrons in crystalline solids?,Bloch states
295,0,2386,[824 6005 10268],What is the radical present in Frémy's salt?,[ON(SO3)2]2−
1568,0,385,[3033 10749],What enzyme is responsible for the formation of acyl carnitines?,Carnitine palmitoyltransferase I
1270,0,2753,[6776 10669 427 9552],What is the primary use of Zinc Oxide Eugenol in dentistry?,"It is used as a dental filling material, dental cement, or impression material"
2048,0,2211,[9067 9173 11081],What is the character set for commands in email networks after a change?,UTF-8
2006,0,1126,[12165 8330 6145 4536],What do Euglyphids feed on?,Tiny organisms such as bacteria
2041,0,1410,[11454 3262 1851 6836],What is the main purpose of HTTPS?,To protect user privacy and secure online transactions
699,0,1846,[9772 11581 5016 8214],What kind of machines always halt?,Total Turing Machines
66,0,1795,[6777 9849],What is a safety advantage of aqueous lithium-ion batteries?,They are nonflammable
340,0,886,[11898 303 12785],What is one of the synthetic routes to obtain phenylacetaldehyde?,Isomerization of styrene oxide
709,0,1979,[2480 8559],What is the environment from which Methanocaldococcus sp. FS406-22 was isolated?,Deep-sea hydrothermal vent fluid
166,0,402,[3162 4132],What is the role of Squalene Monooxygenase in sterol biosynthesis?,It is a rate-limiting enzyme
629,0,2312,[3824 7887 3858 3446],What type of medication is Penbutolol?,A beta blocker
1323,0,724,[538 11445 5166],What type of receptors does LNTX-1 target?,Muscular and neuronal acetylcholine receptors
1351,0,2168,[9012 12387],What is the number of convex regular 6-polytopes?,Three
1518,0,1203,[12898 8237 12556 3275],What is the potassium acid salt of peroxymonosulfuric acid used as?,An oxidizing agent
637,0,1308,[2830 8202],What is the primary composition of isomaltulose?,A disaccharide carbohydrate composed of glucose and fructose
111,0,2028,[3057 11316],What is the typical duration of the antitussive effect of benzonatate?,It typically lasts between 3 and 8 hours
144,0,274,[10318 2284],What is the mechanism of action of arketamine's antidepressant activity?,Arketamine's antidepressant activity is mediated by its ability to activate the AMPA receptor
1186,0,479,[9674 6864],What is the primary fluorine source used in MTV compositions?,Polytetrafluoroethylene
2101,0,2657,[526 9517 1521],What is the abbreviation for the uniform distribution?,"U(a, b"
1738,0,2049,[13009 11344 2781 12592],What type of standards has ECMA published for data interchange?,"ECMA has published standards for character sets, file systems, and magnetic tape cartridges for data interchange"
1089,0,2475,[5778 4415],What is a significant environmental concern associated with plastic mulch?,Conventional plastics accumulating in soil
1675,0,2655,[12860 10922 7671],What are the applications of nanolattices?,"They have applications in small-scale components for biomedical, electrochemical, microfluidic, and aerospace industries"
2073,0,148,[5880 2103 9761],What type of protein is Myelin basic protein classified as?,It has been classified as an intrinsically disordered protein
1570,0,2677,[5634 9911 9670 1157],What is the purpose of the Shelf in NeXTSTEP and OPENSTEP?,"It serves as a temporary holding place for files and directories, allowing users to move or copy them around the file system hierarchy"
163,0,1003,[8302 11677],What is the result of the methylation of uracil?,Thymine is produced
1389,0,1771,[6953 3094],What are some diseases that versutoxin has potential therapeutic applications in?,"Alzheimer's disease, Parkinson's disease, brain ischemia, glaucoma, and sclerosis"
457,0,482,[13277 12777],What is the mechanism of action of decarbamoylsaxitoxin?,"It binds to sodium channels, preventing sodium passage and generating action potentials"
391,0,2105,[12110 4281 13124],What was the name of the computer system that introduced multiprocessor capabilities and improved performance in 1964?,The UNIVAC 1108
1484,0,1019,[9339 2732],What is the name of the compound synthesized through the reaction of D-glucose with 1-octanethiol and Olah's reagent?,n-octyl-β--thioglucopyranoside
814,0,1751,[9875 1704 7991],What heats AZ Cancri's corona?,Alfvén waves
1482,0,358,[7107 3582],What is the concentration required for HFC-227ea to be effective as a fire suppression agent?,"6.25-9%.'''

I hope this is what you are looking for. Please let me know if there is anything else I can help you with.  Thank you for your time. Bes"
397,0,1299,[6759 11049],What type of reaction is the reaction between dinitrophenylhydrazine and a ketone or aldehyde?,A condensation reaction
1232,0,2756,[1401 3228 4549 9285],What is the biological role of C-5 sterol desaturase?,It catalyzes an intermediate step in the synthesis of major sterols
775,0,2373,[10724 6919 5539 8379],What type of plate boundary is the Aleutian subduction zone?,A convergent boundary
892,0,2106,[5193 692 12375],What is the wavelength of light that the human eye perceives as orange?,Between 585-620 nanometers
1938,0,956,[11002 8848],What is used by GIS systems to represent terrain?,Digital elevation models (DEM)
12,0,2345,[3519 2605 11215 11192],What type of files are device drivers implemented as in WDM?,DLL or SYS files
99,0,2381,[8837 8794 6317 2721],What country was the Epsilon variant first detected in?,"California, USA"
619,0,1759,[9169 5078],What is the consequence of an unobserved regressor on the asymptotic variance of the estimator in a linear regression model?,The asymptotic variance of the estimator is independent of whether the regressor is observed or not
1987,0,1027,[9595 8436],What is a common technique used in dentistry to administer local anesthesia to patients?,Infiltration analgesia
540,0,2683,[4134 12318 2058],What is the name of the plant that produces Forskolin?,Indian Coleus plant
2195,0,302,[10851 8263],What is the substrate preference for DASS family proteins?,Divalent anions
1499,0,521,[12199 8494],What regulates the transcription of UspA in bacteria?,Sigma factor σ70
680,0,180,[1284 9196],What type of thruster uses the principle of field ionization?,FEEP thrusters
2001,0,2229,[1960 6763 6484],What is the axilla prone to in terms of lymphogenic spread?,Lymphogenic spread of breast cancer
362,0,2398,[7070 9037 5740],What type of cells are typically found in an ascus?,Ascospores
946,0,1238,[8322 2265],What is the temperature range required for the development of Penicillium funiculosum?,16-21°C
1107,0,1974,[13111 224 5325],What is a challenge in understanding the evolution of moths in the Lithosiini tribe?,The uncertainty in their phylogenetic relationships
781,0,1334,[8899 7028 5154],What is the force exerted on an object when it is partially or fully submerged in a fluid?,The buoyancy force
400,0,1154,[149 12543 10316],What is sonication commonly used for in nanotechnology?,Evenly dispersing nanoparticles in liquids and breaking up aggregates of micron-sized colloidal particles
1123,0,1774,[2716 8698 5221 5427],What is the attachment point of glycosaminoglycan chains to the core protein of proteoglycans?,A serine residue
1638,0,2495,[10182 12101 12299 3481],What is the predicted molecular weight of the KIAA0895 protein?,61kDa
1515,0,1405,[6072 12517],What is dynamic pressure equivalent to in a fluid?,The kinetic energy per unit volume of a fluid
606,0,364,[11777 8611 4022],What is the result of the combination of two globin chains with heme groups in hemoglobin synthesis?,Hemoglobin is formed
549,0,2712,[2310 9574 11035],What is the main purpose of TTL?,To prevent data packets from circulating indefinitely in a network
1012,0,1196,[12327 6376],What is the name of the person who first performed the earliest parameterizations of the post-Newtonian approximation?,Sir Arthur Stanley Eddington
597,0,1239,[9239 12724 8574],What is cross-linking in biology?,The formation of covalent bonds between proteins or other biomolecules
1823,0,2110,[1588 7609 12773 13147],What is the function of Lanosterol 14α-demethylase in sterol biosynthesis?,It catalyzes the removal of the C-14α-methyl group from lanosterol
9,0,2392,[11171 4651],What is the function of OTC enzyme in the urea cycle in mammals?,It catalyzes the reaction between carbamoyl phosphate and ornithine to form citrulline and phosphate
2186,0,2609,[6355 4199 1002],What is the polar angular coverage of the LHCb detector in the horizontal plane?,From 10 to 300 milliradians
1103,0,1240,[7316 10863 10449 11400],What is the typical unit of measurement for stiffness?,Newtons per meter (N/m)
1774,0,1655,[9190 13125 8757 10088],"What is the energy source used to regenerate ribulose 1,5-bisphosphate in photosynthesis?",ATP and NADPH
1664,0,1346,[4995 9934 2066 1302],"What is a highly toxic substance that can cause serious health problems, including asbestosis and mesothelioma?",Asbestos
2240,0,2247,[4107 9195],What is the main advantage of microstrip antennas?,They are relatively inexpensive to manufacture and design
1252,0,1102,[6657 10632 7142 8508],What is the purpose of the working directory in computing?,"The working directory of a process is a directory dynamically associated with each process, where file references are interpreted relative to this directory"
1143,0,1382,[12398 4927 11959 8378],What type of force is the Abraham-Lorentz force?,A recoil force
667,0,1236,[10123 3700 11543 5199],What is an orthonormal set in an inner product space?,An orthonormal set is a set of vectors where all vectors are mutually orthogonal and have a unit length
2017,0,1000,[8856 12419 8030],What is one of the effects of 4NQO on DNA?,It induces DNA lesions
434,0,2239,[6655 10436 10793 3678],What is the major rate-limiting step of glycolysis?,"The phosphorylation of fructose-6-phosphate to fructose-1,6-bisphosphate"
1997,0,224,[8568 9132],What is the worst-case time complexity of finger search in sorted linked lists and arrays?,O(d) in the worst case
1363,0,266,[5867 12900],What is the derivative of Pyridoxine (Vitamin B6) that plays a crucial role in the mechanism of transamination?,Pyridoxal-5'-phosphate (PLP)
1067,0,1728,[12034 11817],What is the normal respiratory rate in adult humans at rest considered clinically abnormal?,Above 22 breaths per minute
2149,0,2639,[12509 5088],What is the primary difference between the Mobile Athlon 64 processors and the Athlon 64 X2 dual-core processors?,"The Mobile Athlon 64 processors have a single core, while the Athlon 64 X2 dual-core processors have two cores"
1860,0,794,[9692 2192],What is the mechanism of ketene cycloadditions?,"Ketene cycloadditions proceed by a concerted, [2+2] cycloaddition mechanism"
158,0,2281,[971 5824 4625 5150],What is the purpose of the IP version field in the IP header?,It is used to identify the version of the Internet Protocol being used
133,0,708,[5350 11058],What is the name of the theorem that implies the unsolvability of Hilbert's tenth problem?,Matiyasevich's theorem
1148,0,1607,[1198 11715 4372],What is the height-to-width ratio of a regular hexagon?,11.1547005
1722,0,362,[8380 4844 5261],What type of enzyme is oxalyl-CoA decarboxylase?,Oxalyl-CoA decarboxylase is a type of lyase
1869,0,937,[3215 3856 4637],What is the primary function of a solenoid?,It converts electrical energy into mechanical energy
503,0,782,[3916 11639],What does the pitot tube measure?,Ram air pressure
2111,0,1519,[10992 780],What is the role of the metal ion in the catalytic reaction of alpha-D-phosphohexomutases?,It is required for the reaction to proceed
1836,0,1217,[2140 8547 8413 3973],What method can be used to improve the accuracy of the final result in floating-point operations?,Using algorithms like TwoSum and FastTwoSum
466,0,1871,[10845 2417 6746],"What is the name of the cache coherence protocol that uses four states: Modified, Exclusive, Shared, and Invalid?",MESI protocol
375,0,434,[4671 342],What is the primary mechanism of turbidite formation?,Density flow
1857,0,2768,[5513 3546 11609 438],What is the typical movement of the eyes during an oculogyric crisis?,The eyes typically deviate upward
850,0,931,[3790 2346 12940],What type of filter is used for abrupt changes in brightness?,Hard edge filter
1061,0,2266,[7127 8870 11842 4027],What should DTT be stored under to prevent oxidation?,Under inert gases
812,0,114,[8842 12989 7361],What is the chemical formula of monocalcium phosphate?,Ca(H2PO4)2
545,0,1543,[10131 10783],What type of stress is typically associated with a traditional Segond fracture?,Abnormal varus stress
2150,0,206,[13190 11116 10538],What is dysdiadochokinesia?,"It is a medical term that refers to the impaired ability to perform rapid, alternating movements"
13,0,2558,[4478 11269 8367 1957],What is the name of the German physicist who made significant contributions to the field of relativity?,Karl Schwarzschild
1287,0,674,[3571 9038 4432],What is installed between analog devices and a POTS line to prevent interference between devices and DSL service?,A DSL filter
990,0,2536,[13219 8022 12235],What is the longest-lived isotope of astatine?,Astatine-210
911,0,125,[11878 4318 4168],What is the approximate number of genera in the Spirostreptidae family of millipedes?,Over 100
54,0,1437,[6127 6069 3649 8792],What is a flag in polyhedral geometry?,"A sequence of faces of a polytope, each contained in the next, with exactly one face from each dimension"
95,0,603,[4537 1245],What is the chemical formula of TMAs?,C12H19NO3
353,0,946,[12766 1622],What is the tautological ring in algebraic geometry?,A subring of the Chow ring of the moduli space of curves generated by tautological classes
577,0,733,[7523 6867],What was the purpose of the Pluto Kuiper Express mission?,"To study Pluto and its moon Charon, as well as one or more other Kuiper belt objects"
1230,0,676,[8524 277],What is a characteristic of X-linked mental retardation?,It is characterized by intellectual disability and various physical abnormalities
